i,sigma_mm,vx,vy,vz,caught,min_dist_cm
1,0.0,+0.01,-2.51,+1.53,1,7.74
2,0.0,+0.01,-2.53,+1.52,1,9.10
3,0.0,+0.07,-2.45,+1.46,0,33.85
4,0.0,-0.06,-2.53,+1.50,1,5.73
5,0.0,-0.12,-2.51,+1.44,1,5.37
6,5.0,-0.04,-2.53,+1.48,1,5.38
7,5.0,+0.02,-2.45,+1.49,1,6.71
8,5.0,+0.07,-2.53,+1.52,0,19.78
9,5.0,+0.05,-2.50,+1.46,1,5.95
10,5.0,-0.05,-2.52,+1.51,1,5.65
11,10.0,-0.05,-2.51,+1.49,1,6.37
12,10.0,+0.03,-2.49,+1.52,1,6.50
13,10.0,-0.03,-2.51,+1.54,1,6.86
14,10.0,+0.07,-2.56,+1.58,1,7.21
15,10.0,+0.07,-2.46,+1.51,1,5.46
16,20.0,-0.02,-2.43,+1.60,1,8.22
17,20.0,+0.09,-2.43,+1.52,1,8.05
18,20.0,-0.06,-2.50,+1.53,1,9.04
19,20.0,-0.06,-2.48,+1.52,0,11.80
20,20.0,+0.03,-2.56,+1.47,1,7.00
21,40.0,-0.02,-2.56,+1.59,0,13.30
22,40.0,-0.02,-2.48,+1.49,0,14.31
23,40.0,+0.08,-2.43,+1.53,0,18.37
24,40.0,-0.11,-2.50,+1.53,0,11.24
25,40.0,+0.05,-2.53,+1.59,0,11.80
26,80.0,-0.07,-2.53,+1.55,0,25.41
27,80.0,+0.00,-2.40,+1.51,0,20.61
28,80.0,-0.03,-2.52,+1.45,0,25.35
29,80.0,-0.06,-2.47,+1.53,0,16.98
30,80.0,+0.06,-2.54,+1.58,0,31.48
