i,vx,vy,vz,caught,min_dist_cm,t_first_intercept_ms,wall_time_s
1,-0.20,-2.00,+0.50,1,7.41,96,0.2
2,-0.20,-2.00,+1.00,1,7.72,96,0.2
3,-0.20,-2.00,+1.50,1,9.48,96,0.2
4,-0.20,-2.00,+2.00,0,14.47,144,0.2
5,-0.20,-2.30,+0.50,1,9.11,96,0.2
6,-0.20,-2.30,+1.00,1,8.95,96,0.2
7,-0.20,-2.30,+1.50,1,9.57,112,0.2
8,-0.20,-2.30,+2.00,1,6.31,112,0.2
9,-0.20,-2.50,+0.50,0,10.57,96,0.2
10,-0.20,-2.50,+1.00,0,12.90,112,0.2
11,-0.20,-2.50,+1.50,1,6.22,112,0.2
12,-0.20,-2.50,+2.00,1,8.17,128,0.2
13,-0.20,-2.70,+0.50,0,16.46,96,0.2
14,-0.20,-2.70,+1.00,1,6.65,96,0.2
15,-0.20,-2.70,+1.50,1,7.15,96,0.2
16,-0.20,-2.70,+2.00,1,7.06,192,0.3
17,-0.20,-3.00,+0.50,1,7.49,112,0.2
18,-0.20,-3.00,+1.00,1,7.29,96,0.2
19,-0.20,-3.00,+1.50,1,9.56,96,0.2
20,-0.20,-3.00,+2.00,1,7.80,320,0.2
21,+0.00,-2.00,+0.50,1,7.16,96,0.2
22,+0.00,-2.00,+1.00,1,7.05,96,0.2
23,+0.00,-2.00,+1.50,1,7.85,96,0.2
24,+0.00,-2.00,+2.00,0,23.58,,0.2
25,+0.00,-2.30,+0.50,1,7.54,144,0.2
26,+0.00,-2.30,+1.00,0,24.19,96,0.2
27,+0.00,-2.30,+1.50,0,17.57,112,0.2
28,+0.00,-2.30,+2.00,1,5.70,112,0.3
29,+0.00,-2.50,+0.50,1,8.30,96,0.2
30,+0.00,-2.50,+1.00,0,15.31,96,0.2
31,+0.00,-2.50,+1.50,1,6.14,96,0.3
32,+0.00,-2.50,+2.00,1,6.58,112,0.3
33,+0.00,-2.70,+0.50,0,16.10,96,0.2
34,+0.00,-2.70,+1.00,1,7.29,96,0.2
35,+0.00,-2.70,+1.50,1,7.34,96,0.2
36,+0.00,-2.70,+2.00,1,6.81,112,0.2
37,+0.00,-3.00,+0.50,1,8.60,96,0.2
38,+0.00,-3.00,+1.00,1,8.70,96,0.2
39,+0.00,-3.00,+1.50,1,8.17,96,0.2
40,+0.00,-3.00,+2.00,1,9.50,224,0.2
41,+0.20,-2.00,+0.50,1,6.78,96,0.2
42,+0.20,-2.00,+1.00,1,7.10,96,0.2
43,+0.20,-2.00,+1.50,1,8.49,144,0.2
44,+0.20,-2.00,+2.00,0,19.80,128,0.2
45,+0.20,-2.30,+0.50,1,6.80,96,0.2
46,+0.20,-2.30,+1.00,0,36.98,96,0.2
47,+0.20,-2.30,+1.50,0,10.14,128,0.2
48,+0.20,-2.30,+2.00,1,6.51,128,0.2
49,+0.20,-2.50,+0.50,1,7.65,112,0.2
50,+0.20,-2.50,+1.00,0,12.08,96,0.2
51,+0.20,-2.50,+1.50,1,5.96,96,0.2
52,+0.20,-2.50,+2.00,1,6.19,112,0.2
53,+0.20,-2.70,+0.50,0,14.69,96,0.2
54,+0.20,-2.70,+1.00,1,6.10,96,0.2
55,+0.20,-2.70,+1.50,1,6.12,112,0.2
56,+0.20,-2.70,+2.00,1,7.80,176,0.2
57,+0.20,-3.00,+0.50,1,6.20,96,0.2
58,+0.20,-3.00,+1.00,1,5.87,96,0.3
59,+0.20,-3.00,+1.50,1,7.71,96,0.2
60,+0.20,-3.00,+2.00,1,6.89,288,0.2
