i,predictor,vy,vz,caught,min_dist_cm
1,analytical,-2.30,+1.00,0,10.31
2,learned,-2.30,+1.00,0,12.55
3,analytical,-2.30,+1.50,1,7.48
4,learned,-2.30,+1.50,0,18.60
5,analytical,-2.30,+2.00,1,6.36
6,learned,-2.30,+2.00,0,17.19
7,analytical,-2.50,+1.00,0,11.43
8,learned,-2.50,+1.00,0,12.44
9,analytical,-2.50,+1.50,1,5.76
10,learned,-2.50,+1.50,0,13.21
11,analytical,-2.50,+2.00,1,9.36
12,learned,-2.50,+2.00,0,11.45
13,analytical,-2.70,+1.00,0,11.79
14,learned,-2.70,+1.00,0,13.90
15,analytical,-2.70,+1.50,1,6.93
16,learned,-2.70,+1.50,1,9.04
17,analytical,-2.70,+2.00,1,8.36
18,learned,-2.70,+2.00,0,10.47
