i,vy,vz,caught,min_dist_cm,t_first_intercept_ms,mode
1,-2.00,+0.50,1,9.00,96,caught
2,-2.00,+1.00,1,9.26,96,caught
3,-2.00,+1.50,1,9.34,96,caught
4,-2.00,+2.00,0,15.76,128,near_miss
5,-2.30,+0.50,1,8.11,96,caught
6,-2.30,+1.00,0,32.31,96,ee_diverged
7,-2.30,+1.50,0,13.64,128,near_miss
8,-2.30,+2.00,1,5.65,128,caught
9,-2.50,+0.50,1,6.23,96,caught
10,-2.50,+1.00,0,13.24,96,near_miss
11,-2.50,+1.50,1,7.37,96,caught
12,-2.50,+2.00,0,10.21,112,near_miss
13,-2.70,+0.50,0,16.20,112,near_miss
14,-2.70,+1.00,1,9.75,96,caught
15,-2.70,+1.50,1,9.25,96,caught
16,-2.70,+2.00,1,5.74,176,caught
17,-3.00,+0.50,1,6.75,96,caught
18,-3.00,+1.00,1,5.91,96,caught
19,-3.00,+1.50,1,7.14,96,caught
20,-3.00,+2.00,1,6.04,96,caught
